Date;FTSEMIB.MI;^AEX;^FCHI;^FTAS;^GDAXI;^GSPC;^IBEX;^N225;^OMX;^SSMI
2005-07-19;33601.0;396.959991;4424.25;2600.389893;4770.540039;1229.349976;10045.0;11764.839844;852.5;6482.140136999999
2005-07-20;33465.0;395.579987;4418.390136999999;2607.399902;4784.5;1235.199951;10007.0;11789.349609;846.7999880000001;6510.669922
2005-07-21;33474.0;395.929993;4425.660156;2611.310059;4829.870117;1227.040039;10021.5;11786.730469;852.7899779999999;6492.0
2005-07-22;33540.0;394.299988;4415.52002;2621.310059;4836.899902;1233.680054;10018.799805;11695.049805;852.5200199999999;6492.52002
2005-07-25;33614.0;394.540009;4422.120117;2633.860107;4842.700195;1229.030029;10017.099609;11762.650391;852.409973;6503.939941
2005-07-26;33630.0;395.549988;4420.779785;2627.6201170000004;4843.490234000001;1231.160034;10043.299805;11737.959961;854.5200199999999;6521.02002
2005-07-27;33658.0;395.100006;4433.129883;2633.860107;4855.350098;1236.790039;10088.700195;11835.080078;861.48999;6560.120117
2005-07-28;33774.0;394.97000099999997;4462.259765999999;2638.060059;4892.5;1243.719971;10128.799805;11858.30957;863.7999880000001;6612.370117
2005-07-29;33693.0;395.769989;4451.740234000001;2644.75;4886.5;1234.180054;10115.599609;11899.599609;863.840027;6600.879883
2005-08-01;33617.0;396.959991;4456.870117;2649.1201170000004;4890.850098;1235.349976;10068.900391;11946.919922;862.9699710000001;6609.439941
2005-08-02;33931.0;397.980011;4503.330078;2665.889893;4932.870117;1244.119995;10113.900391;11940.200195;870.8699949999999;6672.160156
2005-08-03;33896.0;396.920013;4495.47998;2669.719971;4923.120117;1245.040039;10149.700195;11981.799805;869.2199710000001;6658.120117
2005-08-04;33501.0;394.679993;4458.970215;2663.219971;4874.060059;1235.859985;10074.299805;11883.30957;863.5300289999999;6617.25
2005-08-05;33335.0;391.309998;4421.700195;2662.73999;4827.180176;1226.420044;10045.400391;11766.480469;860.8800050000001;6607.689941
2005-08-08;33547.0;391.429993;4441.009765999999;2675.080078;4837.859863000001;1223.130005;10115.5;11778.980469;861.0;6634.339844
2005-08-09;33753.0;395.880005;4491.689941;2684.48999;4909.47998;1231.380005;10145.599609;11900.320313;863.669983;6638.850098
2005-08-10;34027.0;401.570007;4527.109863000001;2691.929932;4990.569824;1229.130005;10229.200195;12098.080078;874.8599849999999;6689.160156
2005-08-11;33922.0;400.149994;4509.100098;2682.22998;4953.930176;1237.810059;10222.099609;12263.320313;870.159973;6680.540039
2005-08-12;33783.0;396.059998;4476.47998;2677.290039;4937.330078;1230.390015;10187.200195;12261.679688;866.8599849999999;6647.549805
2005-08-15;33783.0;395.660004;4466.580078;2676.73999;4922.339844;1233.869995;10184.900391;12256.549805;867.2999880000001;6636.379883
2005-08-16;33600.0;394.640015;4444.569824;2667.01001;4883.810059;1219.339966;10139.799805;12315.669922;865.51001;6634.649902
2005-08-17;33495.0;393.52999900000003;4439.629883;2652.540039;4871.459961;1220.23999;10094.099609;12273.120117;861.340027;6631.350098
2005-08-18;33234.0;391.380005;4430.069824;2640.959961;4851.27002;1219.02002;10037.900391;12307.370117;861.409973;6596.419922
2005-08-19;33724.0;393.97000099999997;4487.899902;2661.320068;4929.910156;1219.709961;10132.900391;12291.730469;866.4699710000001;6636.580078
2005-08-22;33733.0;394.670013;4485.939941;2665.100098;4941.689941;1221.72998;10174.799805;12452.509766;866.9400019999999;6623.290039
2005-08-23;33428.0;391.730011;4436.560059;2658.1298829999996;4917.740234000001;1217.589966;10104.099609;12472.929688;859.25;6565.319824
2005-08-24;33647.0;389.859985;4424.430176;2647.52002;4915.950195;1209.589966;10078.900391;12502.259766;849.4699710000001;6537.0
2005-08-25;33396.0;386.929993;4378.509765999999;2638.100098;4856.009765999999;1212.369995;9983.200195;12405.160156;839.9400019999999;6484.959961
2005-08-26;33073.0;385.149994;4342.700195;2627.580078;4783.799805;1205.099976;9904.799805;12439.480469;833.8599849999999;6445.359863000001
2005-08-29;33207.0;385.649994;4361.27002;;4812.240234000001;1212.280029;9938.5;12309.830078;841.070007;6463.669922
2005-08-30;33144.0;386.079987;4356.660156;2640.580078;4791.720215;1208.410034;9922.299805;12453.139648;838.330017;6473.220215
2005-08-31;33520.0;389.600006;4399.359863000001;2659.209961;4829.689941;1220.329956;10008.900391;12413.599609;849.51001;6517.209961
2005-09-01;33684.0;389.880005;4424.149902;2675.399902;4842.939941;1221.589966;10134.099609;12506.969727;851.8900150000001;6553.589844
2005-09-02;33667.0;389.309998;4404.950195;2674.610107;4837.810059;1218.02002;10145.0;12600.0;853.669983;6532.069824
2005-09-05;33805.0;391.459991;4430.089844;2679.0;4909.890136999999;;10250.900391;12634.879883;856.2100220000001;6543.399902
2005-09-06;33987.0;394.149994;4472.549805;2688.030029;4968.279785;1233.390015;10373.200195;12599.429688;860.3900150000001;6609.75
2005-09-07;34092.0;394.299988;4486.189941;2693.47998;4988.140136999999;1236.359985;10408.0;12607.589844;863.5399779999999;6684.689941
2005-09-08;34166.0;393.920013;4465.939941;2680.949951;4992.75;1231.670044;10441.200195;12533.889648;860.7800289999999;6681.669922
2005-09-09;34233.0;394.910004;4491.680176;2690.830078;5005.930176;1241.47998;10486.599609;12692.040039;868.929993;6703.620117
2005-09-12;34288.0;395.700012;4491.819824;2699.919922;4989.97998;1240.560059;10494.700195;12896.429688;869.580017;6727.22998
2005-09-13;34074.0;393.299988;4453.410156;2681.030029;4901.879883;1231.199951;10429.799805;12901.950195;869.2000119999999;6696.379883
2005-09-14;34320.0;393.899994;4470.430176;2686.290039;4911.169922;1227.160034;10459.099609;12834.25;873.0300289999999;6731.580078
2005-09-15;34286.0;394.920013;4479.390136999999;2701.899902;4905.97998;1227.72998;10475.700195;12986.780273;869.4400019999999;6752.839844
2005-09-16;34538.0;398.100006;4509.490234000001;2713.800049;4986.5;1237.910034;10532.099609;12958.679688;872.429993;6810.299805
2005-09-19;34527.0;399.160004;4505.680176;2724.409912;4926.129883;1231.02002;10536.0;;872.3900150000001;6804.069823999999
2005-09-20;34555.0;401.410004;4531.799805;2719.0;4962.859863000001;1221.339966;10583.400391;13148.570313;872.679993;6835.680176000001
2005-09-21;34419.0;396.480011;4468.060059;2695.179932;4875.220215;1210.199951;10500.299805;13196.570313;864.0499880000001;6761.02002
2005-09-22;34179.0;393.609985;4448.149902;2701.25;4849.009765999999;1214.619995;10536.599609;13159.360352;867.900024;6735.75
2005-09-23;34238.0;394.329987;4477.200195;2714.330078;4882.580078;1215.290039;10631.200195;;870.0300289999999;6785.529785
2005-09-26;34692.0;399.369995;4566.919922;2732.399902;4998.160156;1215.630005;10724.900391;13392.629883;882.830017;6852.180176000001
2005-09-27;34600.0;398.130005;4546.799805;2729.8701170000004;4965.879883;1215.660034;10678.5;13310.040039;882.7700199999999;6852.009765999999
2005-09-28;34871.0;401.98999;4599.629883;2752.01001;5048.740234000001;1216.890015;10801.700195;13435.910156;890.3599849999999;6904.839844
2005-09-29;34773.0;400.410004;4578.859863000001;2744.72998;5021.169922;1227.680054;10780.599609;13617.240234;890.98999;6860.370117
2005-09-30;34775.0;402.98999;4600.02002;2745.790039;5044.120117;1228.810059;10813.900391;13574.299805;896.2899779999999;6898.879883
2005-10-03;34874.0;407.839996;4622.540039;2756.75;5082.069824;1226.699951;10880.700195;13525.280272999998;905.3800050000001;7005.640137
2005-10-04;34654.0;408.660004;4650.240234000001;2754.219971;5138.02002;1214.469971;10919.200195;13738.839844;902.7899779999999;7042.259765999999
2005-10-05;34136.0;404.959991;4594.109863000001;2721.290039;5069.419922;1196.390015;10823.099609;13689.889647999998;898.5;7026.359863
2005-10-06;33867.0;399.890015;4536.899902;2692.070068;5017.27002;1191.48999;10750.900391;13359.509766;889.51001;6939.209961
2005-10-07;33620.0;398.660004;4528.790039;2686.300049;5007.77002;1195.900024;10732.400391;13227.740234;888.1300050000001;6946.950195
2005-10-10;33635.0;398.269989;4536.220215;2692.780029;5022.790039;1187.329956;10800.599609;;892.0599980000001;6950.859863
2005-10-11;33602.0;397.899994;4549.680176;2697.189941;5032.459961;1184.869995;10810.200195;13556.709961000002;892.51001;6965.669922
2005-10-12;33403.0;393.700012;4515.049805;2678.560059;4981.77002;1177.680054;10721.799805;13463.740234;882.7700199999999;6918.970215
2005-10-13;33066.0;391.369995;4470.129883;2639.169922;4950.069824;1176.839966;10567.099609;13449.240234;873.9400019999999;6868.109863
2005-10-14;33214.0;394.309998;4482.129883;2643.300049;4975.560059;1186.569946;10629.299805;13420.540039;876.330017;6871.169922
2005-10-17;33219.0;394.309998;4489.209961;2648.040039;4978.830078;1190.099976;10629.5;13400.290039;872.8900150000001;6883.419922
2005-10-18;32859.0;393.920013;4461.140136999999;2637.48999;4947.180176;1178.140015;10529.900391;13352.240234;870.0599980000001;6946.0
2005-10-19;32279.0;387.059998;4375.089844;2587.199951;4845.97998;1195.76001;10402.5;13129.490234;856.5;6820.430176000001
2005-10-20;32336.0;389.059998;4390.660156;2588.830078;4864.25;1177.800049;10382.299805;13190.459961;858.7000119999999;6885.399901999999
